class,text
pos,@stacymadern thats the prob with Zyprexa its for ppl with Bi-Polar or Schizophrenia its really strong when you wake up your drowsy for 6 hrs
pos,@stark3923 cipro has a known warning of weakening the Achilles tendon. ...
pos,Screw you Paxil! You do wonders for anxiety but you make me a ultra lightweight
pos,"Also, yay addiction. It's drugs i need for living, but it's still dependance. every time i get a ""paxil headache"" i realize this. oh well."
pos,Wondered why my limbs ached and I was shivering on the hottest day of the year so far. Forgot my venlafaxine. That'll be withdrawal then!
pos,I am way too hyper to go home and do nothing tonight :( damn Prozac >.<
pos,Rivaroxaban 2/2 lower back pain. Not very PC but am crippled by this drug. Taking more paracetamols. Must ring for 'phone consultation.
pos,That nap was on point.... Cymbalta did that shit cuz I dont take naps...ever
pos,I wish I could be tired. Shouldn't have taken the vyvanse. Now I'm never sleeping.
pos,@Jakefletcha @Becki_65roses Cipro is real bad on your entire body! Take it from me (on disability since '09 thanks to just 12 pills).
pos,I'd rather be on the Effexor that made me happy though I had severe back pain from it.. Than sad and crying for no reason on lexapro....
pos,Question time #crohns #ibd #humira does anyone suffer from egg burps? What works for you
pos,19.32 day 20 Rivaroxaban diary. Still residual aches and pains; only had 4 paracetamol today.
pos,why do I not remember going to bed or waking up (the answer: probably seroquel)
pos,"Only one day in and Mirtazapine is like fluoxetine all over again, it just makes me so tiered"
pos,"Just about dead, think it's bedtime.. Fuck you quetiapine"
pos,"The day after Humira used to be a great one, full of energy, low pain. After a month, it is now a fatigue filled achy day. #rheum"
pos,"Day has been a right off. Missed opticians&slept aw day. Sitting here torn faced, wi greasy hair&unwashed. Swollen feet thx to olanzapine."
pos,"@JessBarrett227 Taking someone off 150mg off Seroquel, mixing it with Olanzapine in 2 wks causes psychosis - a proper assess was not done."
pos,@BLEDNOS Lamictal and trileptal and seroquel...of course the seroquel I take in severe situations because gaining weight is never cool
pos,"@HDAwareness cause UCD sayed I had Huntington's disease for like 8 yrs, then said high dose zyprexa caused a false diagnosis. I think I have"
pos,@Joanne__Howe enbrel is a miracle but it made my eyes worse :( so couldn't have it anymore :(
pos,@brain_opera I had to taper myself down. I think the Seroquel gave me lasting sleep paralysis. I've had it ever since.
pos,"Actually it was more like a prison but with nurses instead of guards, olanzapine pill n IM= #zombies"
pos,@drdrew I recently stopped taking effexor 225 what can i do to ease my withdrawls?I feel miserable right now and very angry.Please any ideas
pos,What to do? Not looking forward to cold turkey withdrawals from Pristiq... sense of impending doom. Anxiety only makes the situation worse.
pos,"Rivaroxaban diary ctd , neck and should ache, lower back pain and knee ache."
pos,@david82wilkins @CFAware Neither of you appear to be aware that Cipro can cripple otherwise healthy people...doctor fail to mention that?
pos,Pt of mine died from Cipro RT @CIPROisPOISON: @gastromom If only more doctors thought like you! I lost my entire life to 12 Cipro pills
pos,I'm loosing so much blood right now. Humira is some scurry ish.
pos,Getting a seven page text of garbled ramblings from someone detailing that their titrating of venlafaxine led to a break up is unusual.
pos,Anyone who will listen: never ever take Effexor/Venlafaxine. Paraesthesia abound.
pos,Just wondering where the side effect of hating the world is stated on vyvanse advertisements?
pos,venlafaxine makes me feel so nauseas hahahaha oh god I'm going to chunder in my geography lesson help
pos,"Toothache. Discovered that somewhere in the paracetamol, codeine, sertraline #quetiapine combination there is a bad mix. #hallucinating"
pos,@PosAware my t cell went up w ith humira I also have crohns disease. I wish u guys had more articles with people like me in it
pos,"Oh, and I forgot that with Lamotrigine come awful night terrors. I woke up no fewer than five times screaming and sweaty. #lol"
pos,"@SpicyNyx fluoxetine and quet combo zombified me...ah, the meds merrygoround #bipolar"
pos,"Hmm, interesting. I may have been undergoing Baclofen withdrawal hence the anxiety for the past few months… #hypochondria"
pos,"@illtreaturite1 Fluox a friend 4 years, but switch to cymbalta 4 anti-depress/pain control. I OCD worry. Can't stop running mind"
pos,"@fragileannie @meilufay I tried Baclofen, another common muscle relaxer, and had too many side-effects from it, including worsening pain."
pos,@skernandez because I realized Vyvanse after a certain time of taking it increased my anxiety and made me more irrational.
pos,@neomoms I had been blaming my dizziness upon standing to my menopause but now on HRT & no more flashes so looked at cymbalta side effs
pos,So I may be allergic to the metoprolol. Rash on my face. Needing my inhaler daily since Friday.
pos,@Glass1ncision -nods- My zombie-ness when I first wake up in the morning is mostly from my nightly meds too (Seroquel).
pos,Do not ever get on Cymbalta. Getting off of it is HELL!
pos,I suggest never stop taking Effexor abruptly because you will feel like you're on your death bed
pos,I resent taking olanzapine as it is the side effects of olanzapine that were mistaken for negative symptoms of schizophrenia
pos,@nicoleccoelho I take fluoxetine and it doesn't do shit it just makes me dizzy and tired
pos,My vyvanse is seriously about to drive me crazy
pos,Almost vomited on a zinc lozenge #yuk
pos,"can't sleep, but i'm afraid that the muscle tremors keep me awake even worse if i take promethazine in combination with fluoxetine..."
pos,People taking #quetiapine - does this need to sleep 24/7 go eventually? Cos this is not sustainable beyond the short term.
pos,@weswroten @bullfrogr wow Paxil sent me into a huge hypo manic mixed episode.
pos,Lamotrigine causing steven johnson syndrome
pos,This Vyvanse got me sweating right now and I dont even know why
pos,"@Shellyfanelly I was on #azathioprine for about 8 years, it worked well, now on #Humira instead though which is knocking me about"
pos,"@sapphire20 to it, and now I'm on Humira with just the bloat to battle. Things sometimes get super shitty in every sense. But stay strong xx"
pos,@brokenmind_ Quetiapine was horrific for me in relation to wait gain. Such a horror story. But the weight will come off one day at a time.
pos,No one likes me on my Vyvanse #TooChill #Zombiemode
pos,"@neurobonkers also, ""meth mouth"" is really poverty mouth. u don't c when people take it for ADHD. nor in Prozac, which similarly dries mouth"
